Wl.3,"1142 W Jefferson St., Shorewood, IL,  ",Match,Exact,"1142 W JEFFERSON ST, SHOREWOOD, IL, 60404","-88.209206,41.521442",111597295,L
T g6,"30W315 Calumet Ave. W., Warrenville, IL,  ",Match,Exact,"30W315 CALUMET AVE W, WARRENVILLE, IL, 60555","-88.21161,41.824913",112526025,R
Hv.2,"4030 Fox Valley Center Dr., Aurora, IL,  ",Match,Non_Exact,"4030 FOX VALLEY CENTER RD, AURORA, IL, 60504","-88.21194,41.761066",639891903,R
Mey6,"3425 Pearl St., McHenry, IL,  ",Match,Exact,"3425 PEARL ST, MCHENRY, IL, 60050","-88.26445,42.346596",119821971,R
Eee9,"128 W. Main St., West Dundee, IL,  ",Match,Exact,"128 W MAIN ST, WEST DUNDEE, IL, 60118","-88.27768,42.09813",119500593,R
Sr.6,"203 Berg St., Algonquin, IL,  ",Match,Exact,"203 BERG ST, ALGONQUIN, IL, 60102","-88.30316,42.171375",119825620,R
Scb6,"306 W. State St., Geneva, IL,  ",Match,Exact,"306 W STATE ST, GENEVA, IL, 60134","-88.30737,41.88785",119507861,L
Erg10,"2 1/2 West Wilson Street, Batavia, IL,  ",Match,Exact,"2 W WILSON ST, BATAVIA, IL, 60510","-88.30913,41.84997",119584025,L
T e8,"205 N. Broadway, Aurora, IL,  ",Match,Exact,"205 N BROADWAY, AURORA, IL, 60505","-88.309616,41.761177",119583363,R
Pr.7,"509 Stevens St., Geneva, IL,  ",Match,Exact,"509 STEVENS ST, GENEVA, IL, 60134","-88.30982,41.89245",119507794,R
Csg7,"150 N. Main St., Crystal Lake, IL,  ",Match,Exact,"150 N MAIN ST, CRYSTAL LAKE, IL, 60014","-88.31612,42.246098",119821110,R
Vly4,"2380 Esplanade Dr., Algonquin, IL,  ",Match,Exact,"2380 ESPLANADE DR, ALGONQUIN, IL, 60102","-88.33827,42.144173",618430351,R
Oe.8,"61 Main St, Oswego, IL,  ",Match,Non_Exact,"61 S MAIN ST, OSWEGO, IL, 60543","-88.35215,41.684093",54484222,L
Ce.9,"217 W. Main St., Genoa, IL,  ",Match,Exact,"217 W MAIN ST, GENOA, IL, 60135","-88.69367,42.09737",52266288,R
Sly9,"8 102 Lemont Rd, Woodridge, IL,  ",No_Match,,,,,
Sps2,", Elk Grove Village, IL,  ",No_Match,,,,,
9 .8,", Lindenhurst, IL,  ",No_Match,,,,,
BBm6,"2000 W Orchard Rd., North Aurora, IL,  ",No_Match,,,,,
La.2,"54 E. St. Charles Rd. #11, Villa Park, IL,  ",Tie,,,,,
Bgy1,", ???  West Town, ,  ",No_Match,,,,,
Nng4,"800 E. Roosevelt Rd., Lombard, IL,  ",No_Match,,,,,
Wfg7,", Bloomingdale, IL,  ",No_Match,,,,,
Lr.8,", ???  Chicago, ,  ",No_Match,,,,,
Snt3,", Elk Grove Village, IL,  ",No_Match,,,,,
Zmr4,", , ,  ",No_Match,,,,,
Ba.7,"2825 Carlson Dr., Hammond, IN,  ",No_Match,,,,,
Wny1,", , ,  ",No_Match,,,,,
O g5,"11000 Delaware Pkwy., Crown Point, IN,  ",No_Match,,,,,
Mu.8,"1516 E. Lake Ave., Glenview, IL,  ",No_Match,,,,,
Rig8,"17759 Bretz Dr., Homewood, IL,  ",No_Match,,,,,
Wg.4,", Tinley Park, IL,  ",No_Match,,,,,
Ccy10,", ???  West Loop, ,  ",No_Match,,,,,
Aig2,", Lombard, IL,  ",No_Match,,,,,
Cog4,", Oak Park, IL,  ",No_Match,,,,,
